User_ID	Reply Frequency	Retweet Frequency	Mention Frequency
176502559	58	18	107
3276668192	1	1	2
883636189	1	1	3
1659548389	15	17	35
724752040057028608	1	9	16
1173981086	1	1	2
3260503620	2	19	25
2272909014	1	4	5
2471692340	1	26	72
16243550	1	4	12
4767395174	1	10	14
24516301	1	42	71
261074207	1	1	3
2291402228	2	8	15
43075660	4	9	17
2433667077	1	8	12
232901331	8	177	298
1287022826	1	3	8
18949452	1	42	120
52332354	1	1	3
2564440225	1	5	22
5242	1	1	2
30973100	1	1	3
33838446	1	5	8
504289645	1	3	4
43283406	2	3	11
16539283	1	11	12
4853922562	1	3	4
3249463450	1	402	410
15853787	1	1	2
368224442	21	2	26
156641280	1	374	408
18085903	2	2	6
1578095880	1	5	7
2413775350	1	6	9
27389854	10	1	17
116969334	1	114	129
2578185827	336	243	621
300324257	1	1	2
2545187895	1	4	8
24236438	3	40	43
105414097	1	2	3
1156371384	1	2	4
4785071500	1	2	5
9532402	3	66	93
183128209	1	1	2
613222342	2	1	3
54086590	1	7	9
933693476	1	153	163
265605524	1	19	21
1693392673	1	52	53
1855582706	5	7	19
2289992708	544	37	581
783172964	2	1	3
1566576950	1	3	4
273814989	1	1	2
69340006	1	42	52
3015246064	11	6	23
928587764530065408	2	2	4
3263125933	1	1	2
2674034604	4	1	5
259062252	1	1	3
2424290599	4	13	23
319850082	1	16	29
216289357	274	11	445
3070577467	1	2	13
2892541329	1	1	2
15914986	1	4	7
1935089888	1	4	9
2810381366	1	1	3
2497380297	2	4	5
37046582	1	2	3
3377100196	1	22	27
31922947	16	29	70
42930536	1	2	6
875627605	1	6	20
1369109959	5	2	7
1392951560	2	87	121
1575301334	2	16	56
3265449986	1	1	2
2879873157	1	1	7
32818433	2	5	9
1858907203	1	26	36
1960154761	1	4	6
2251173986	1	7	16
49013218	1	4	6
19738866	2	2	5
128163623	1	12	13
14344823	21	102	336
2162318095	7	4	11
594825913	3	2	6
3239107897	2	3	6
1327883377	3	1	5
314406730	1	3	5
396132917	1	2	3
20994006	1	1	5
1890771926	9	1	11
228109008	2	1	3
3054253960	2	2	4
2398047932	1	5	7
1611656443	1	15	16
352532987	2	7	13
26149716	1	2	3
2172431544	1	1	2
3383127353	1	11	12
377551652	1	33	43
4446148155	1	4	6
3180988574	3	7	11
948366241	1	15	26
89967445	10	179	240
1904643864	1	1	1
3120975911	1	3	4
2934083036	2	1	7
111327349	1	4	13
918676928911036416	1	1	2
16989178	7	200	352
15163466	10	3	16
9609632	1	6	9
1551255596	11	2	13
1086671635	23	14	45
167317309	1	1	3
523658595	3	38	41
231601481	2	18	21
2395790593	1	3	6
951952663	1	1	2
3034492125	1	2	3
3392681261	1	95	165
758876521	1	1	2
19889339	2	2	5
377830994	4	1	5
59233473	1	1	2
1596837170	5	2	8
1934064451	1	1	2
46808996	1	11	55
805231095591485440	14	13	29
1319867221	1	32	34
2353497445	1	2	3
2291317303	2	2	4
28681610	1	4	6
488713596	1	7	8
942826278	1	5	7
2429127973	2	1	3
248277670	1	1	2
15675138	4	72	90
2647104775	3	25	31
189429931	1	4	5
885733974	4	223	488
16858278	1	1	2
490404410	1	1	2
345356127	1	5	7
208155240	16	11	85
1061556823	1	1	2
1601756221	1	2	5
2415053456	2	12	25
2766935596	1	23	31
227373977	1	12	23
2906761851	6	30	42
21398372	1	2	3
18197668	1	46	140
2799446522	1	1	3
99266164	7	4	11
469944975	46	1	48
606486102	1	1	4
291873718	1	13	14
2449517581	3	23	42
787660822302498816	10	27	48
573511021	2	1	3
21679021	1	1	2
1146358172	3	218	251
2390766444	1	2	3
732240032	6	17	86
45550305	1	10	12
21718006	1	4	9
3309060937	1	1	3
18967418	1	6	34
383815015	8	1	15
2888257348	4	108	116
17801749	3	4	11
1658150023	1	1	2
310482542	3	11	16
311032328	2	3	4
30488144	2	9	21
34701524	1	1	2
2393946908	3	1	4
143018689	1	4	8
515339000	17	424	473
753275934	1	6	7
2411590736	2	1	3
2238287285	1	5	11
272986795	1	6	7
1934770050	1	1	2
185728888	9	1	13
3556720519	1	4	94
24643079	1	4	11
965231036	3	1	10
1602081913	1	2	7
1390039220	1	203	204
100907167	1	6	7
1297470902	1	22	28
44279700	2	1	4
18728203	1	1	6
1462278134	1	2	3
38521282	1	2	32
1003634988	1	2	3
972719239	1	2	3
112696972	2	18	21
32796690	1	183	184
2485878042	1	4	6
46822887	1	332	370
831097386	10	6	18
856490520	1	11	15
3396281170	2	31	33
70320954	1	8	10
2826425052	1	5	6
335959930	1	4	5
98101047	4	8	16
473904228	2	2	4
1499443836	1	1	2
98684942	1	15	32
2306396232	3	20	28
2545200280	1	2	3
30835585	1	1	2
2268129805	1	2	3
3403207960	1	1	2
28670599	1	38	60
2299819861	4	3	7
390973539	18	1	28
60598920	59	1	65
419911021	1	8	10
823732199321006080	1	1	2
2913907464	1	2	3
17362759	61	3	52
732779507506020352	1	140	154
128440036	1	287	299
16366471	2	37	46
71048726	4	15	55
46335511	2	20	40
154532994	1	867	887
1182885614	2	2	4
1181427522	1	2	3
17800215	1	25	166
4799082093	1	2	3
1449283567	1	1	3
159179833	3	2	5
141028591	1	2	3
2869304907	1	5	6
1640471509	4	4	10
1701989424	2	2	5
2452328625	5	77	82
158650448	21	122	256
2310688300	1	1	3
38863786	1	4	6
2174133852	1	27	28
594878741	1	7	8
201349644	1	3	5
2722419902	3	36	50
16305494	3	3	8
53153263	7	3	14
871596541	2	1	6
20905367	404	898	1498
272957663	1	2	3
3406938525	14	107	153
3092261417	3	13	22
290632502	2	3	5
435695896	1	32	34
3355299496	1	5	6
247190018	1	3	4
834544453	8	39	52
2698314311	2	2	8
330472602	1	1	3
2395700198	2	28	31
2448805137	1	2	3
2248635574	3	2	4
93478603	1	1	4
413327979	1	25	33
54837923	8	439	461
34054564	1	2	3
947843994	1	48	70
2639241371	1	6	12
545973410	11	1	13
3433022621	2	101	122
3355045187	2	1	3
40684090	10	2223	2501
755888148	3	1	4
988279338	2	4	6
144705819	1	7	8
3028986579	7	2	10
378054350	1	1	2
76196816	3	1	5
983070032	4	72	86
2394861368	1	1	2
4760985321	2	6	12
432419218	2	2	4
323625873	4	235	239
3389073989	1	55	69
27055034	3	5	13
618843418	3	1	4
515449668	1	1	5
252819642	24	3	30
563057475	1	3	4
33276161	4	46	71
29261021	1	1	2
1607812525	5	29	39
34310801	6	9	700
3126644399	11	1	15
2786991032	476	130	606
1683898572	1	1	2
2282361138	1	3	5
340891133	1	2	3
268674195	2	1	3
124003770	2	21	65
4764967337	1	40	210
2381739626	1	1	2
2348665640	10	2	14
2925252862	1	4	5
3301369744	6	3	27
309847442	4	25	38
110326494	16	124	197
922472858	57	45	108
1472466589	1	621	627
3390129334	1	9	11
490565694	2	2	5
609227788	30	8	51
92792911	1	1	3
2744944973	1	1	3
65647594	6	19	31
880589752549994496	1	2	3
2834345013	2	2	4
729652980	4	4	10
253276060	1	5	7
1964216316	2	2	4
2989727024	1	2	3
770404850664366080	1	2	3
1156820016	3	3	9
2397100808	3	9	14
2251967212	2	2	5
1454470148	2	4	7
971706996	3	4	9
420316512	8	3	12
36735735	1	1	2
2351094276	1	3	4
2739640174	2	24	28
1098639504	1	1	3
1427851262	1	2	3
1875771949	1	1	7
25110374	17	59	97
55975531	1	6	8
1266146101	1	2	3
2557519951	1	1	2
615673847	1	5	6
921409729	37	2	41
1283090984	3	1	5
17261066	2	11	13
327569081	1	10	15
63193260	20	2	19
1258444693	1	18	19
384124287	5	1	8
282568207	1	1	2
2343954462	1	5	6
1954653085	1	4	5
20545835	1	17	75
415464471	1	2	3
223848019	2	6	12
382698473	1	12	14
2694982945	4	1	5
113385322	2	1	5
41224216	3	181	192
1220760792	4	191	208
2592057295	2	2	26
298867908	1	1	2
950498635	1	33	35
4099435937	1	3	4
2908815143	2	17	24
1160775618	1	12	16
129009730	1	3	4
17004618	1	17	30
2958827962	1	1	5
1720816128	1	37	43
277942137	7	1	13
2306083502	10	63	114
1157460228	13	2	14
2663151246	1	22	27
2260638498	1	1	2
3259494140	1	1	2
25913058	1	5	7
28112463	1	1	2
270359023	1	3	4
565856876	4	3	6
154236193	1	9	10
2213733526	9	3	16
569467464	1	5	8
1499451937	1	1	2
66033904	2	8	13
263504882	1	1	3
153442746	2	1	3
583628833	4	2	13
